operation,CNOT count,1-qubit Clifford count,T count,R count,M count,T depth,Full width,max width,initial width,extra width,comment,size
SimonResourceWrappers.FullChaskeyAttackEstimate,36453,11518,8192,0,2176,2112,171,171,0,171,,8
SimonResourceWrappers.FullChaskeyAttackEstimate,54677,17222,12288,0,3200,3168,171,171,0,171,,12
