operation,CNOT count,1-qubit Clifford count,T count,R count,M count,Full depth,Full width,max width,initial width,extra width,comment,size
SimonResourceWrappers.FullChaskeyAttackEstimate,36425,11434,8192,0,2176,27652,171,171,0,171,,8
SimonResourceWrappers.FullChaskeyAttackEstimate,54611,17024,12288,0,3200,41479,171,171,0,171,,12
