operation,CNOT count,1-qubit Clifford count,T count,R count,M count,T depth,Full width,max width,initial width,extra width,comment,first arg,second arg
SimonResourceWrappers.PrinceAttackEstimate,38879,6366,13356,0,128,720,139,139,0,139,,64,48
SimonResourceWrappers.PrinceAttackEstimate,39897,6564,13776,0,128,720,139,139,0,139,,64,50
